@r47.2|NC_014152.1-6610,NC_014152.1
@r48.2|NC_014152.1-4394,NC_014152.1
@r49.2|NC_014152.1-1996,NC_014152.1
@r50.2|NC_014152.1-8591,NC_014152.1
@r51.2|NC_014152.1-4588,NC_014152.1
@r52.2|NC_014152.1-11831,NC_014152.1
@r53.2|NC_014152.1-11796,NC_014152.1
@r54.2|NC_014152.1-8888,NC_014152.1
@r55.2|NC_014152.1-7336,NC_014152.1
@r56.2|NC_014152.1-10193,NC_014152.1
@r57.2|NC_014152.1-11121,NC_014152.1
@r58.2|NC_014152.1-6065,NC_014152.1
@r59.2|NC_014152.1-3323,NC_014152.1
@r60.2|NC_014152.1-8619,NC_014152.1
@r61.2|NC_014152.1-1991,NC_014152.1
@r62.2|NC_014152.1-10032,NC_014152.1
@r63.2|NC_014152.1-11797,NC_014152.1
@r64.2|NC_014152.1-4714,NC_014152.1
@r65.2|NC_014152.1-2638,NC_014152.1
@r66.2|NC_014152.1-2792,NC_014152.1
@r67.2|NC_014152.1-11959,NC_014152.1
@r68.2|NC_014152.1-8475,NC_014152.1
@r69.2|NC_014152.1-666,NC_014152.1
@r70.2|NC_014152.1-393,NC_014152.1
@r71.2|NC_014152.1-8664,NC_014152.1
@r72.2|NC_014152.1-14,NC_014152.1
@r73.2|NC_014152.1-5405,NC_014152.1
@r74.2|NC_014152.1-6752,NC_014152.1
@r75.2|NC_014152.1-3778,NC_014152.1
@r76.2|NC_014152.1-6230,NC_014152.1
@r77.2|NC_014152.1-1552,NC_014152.1
@r78.2|NC_014152.1-7970,NC_014152.1
@r79.2|NC_014152.1-1997,NC_014152.1
@r80.2|NC_014152.1-2021,NC_014152.1
@r81.2|NC_014152.1-5523,NC_014152.1
@r82.2|NC_014152.1-6277,NC_014152.1
@r83.2|NC_014152.1-8402,NC_014152.1
@r84.2|NC_014152.1-3725,NC_014152.1
@r85.2|NC_014152.1-5652,NC_014152.1
@r86.2|NC_014152.1-9754,NC_014152.1
@r87.2|NC_014152.1-11781,NC_014152.1
@r88.2|NC_014152.1-11289,NC_014152.1
@r89.2|NC_014152.1-7544,NC_014152.1
@r90.2|NC_014152.1-2682,NC_014152.1
@r91.2|NC_014152.1-6465,NC_014152.1
@r92.2|NC_014152.1-2592,NC_014152.1
@r93.2|NC_014152.1-11555,NC_014152.1
@r94.2|NC_014152.1-7933,NC_014152.1
@r95.2|NC_014152.1-9618,NC_014152.1
@r96.2|NC_014152.1-9963,NC_014152.1
@r97.2|NC_014152.1-11787,NC_014152.1
@r98.2|NC_014152.1-8413,NC_014152.1
@r99.2|NC_014152.1-9522,NC_014152.1
@r100.2|NC_014152.1-3976,NC_014152.1
@r101.2|NC_014152.1-9588,NC_014152.1
@r102.2|NC_014152.1-10714,NC_014152.1
@r103.2|NC_014152.1-10492,NC_014152.1
@r104.2|NC_014152.1-2040,NC_014152.1
@r105.2|NC_014152.1-2919,NC_014152.1
@r106.2|NC_014152.1-6510,NC_014152.1
@r107.2|NC_014152.1-2134,NC_014152.1
@r108.2|NC_014152.1-6175,NC_014152.1
@r109.2|NC_014152.1-8812,NC_014152.1
@r110.2|NC_014152.1-4882,NC_014152.1
@r111.2|NC_014152.1-6619,NC_014152.1
@r112.2|NC_014152.1-6563,NC_014152.1
@r113.2|NC_014152.1-3165,NC_014152.1
@r114.2|NC_014152.1-7324,NC_014152.1
@r115.2|NC_014152.1-2715,NC_014152.1
@r116.2|NC_014152.1-6415,NC_014152.1
@r117.2|NC_014152.1-1752,NC_014152.1
@r118.2|NC_014152.1-10670,NC_014152.1
@r119.2|NC_014152.1-4297,NC_014152.1
@r120.2|NC_014152.1-11040,NC_014152.1
@r121.2|NC_014152.1-1233,NC_014152.1
@r122.2|NC_014152.1-11064,NC_014152.1
@r123.2|NC_014152.1-7624,NC_014152.1
@r124.2|NC_014152.1-7349,NC_014152.1
@r125.2|NC_014152.1-3689,NC_014152.1
@r126.2|NC_014152.1-3558,NC_014152.1
@r127.2|NC_014152.1-9739,NC_014152.1
@r128.2|NC_014152.1-7290,NC_014152.1
@r129.2|NC_014152.1-11018,NC_014152.1
@r130.2|NC_014152.1-5452,NC_014152.1
@r131.2|NC_014152.1-1631,NC_014152.1
@r132.2|NC_014152.1-8987,NC_014152.1
@r133.2|NC_014152.1-2395,NC_014152.1
@r134.2|NC_014152.1-2571,NC_014152.1
@r135.2|NC_014152.1-2288,NC_014152.1
@r136.2|NC_014152.1-2432,NC_014152.1
@r137.2|NC_014152.1-9317,NC_014152.1
@r138.2|NC_014152.1-2382,NC_014152.1
@r139.2|NC_014152.1-5727,NC_014152.1
@r140.2|NC_014152.1-4359,NC_014152.1
@r141.2|NC_014152.1-1711,NC_014152.1
@r142.2|NC_014152.1-9275,NC_014152.1
@r143.2|NC_014152.1-11133,NC_014152.1
@r144.2|NC_014152.1-8264,NC_014152.1
@r145.2|NC_014152.1-8816,NC_014152.1
@r146.2|NC_014152.1-266,NC_014152.1
@r147.2|NC_014152.1-7769,NC_014152.1
@r148.2|NC_014152.1-1627,NC_014152.1
@r149.2|NC_014152.1-7230,NC_014152.1
@r150.2|NC_014152.1-709,NC_014152.1
@r151.2|NC_014152.1-3970,NC_014152.1
@r152.2|NC_014152.1-7537,NC_014152.1
@r153.2|NC_014152.1-6847,NC_014152.1
@r154.2|NC_014152.1-8961,NC_014152.1
@r155.2|NC_014152.1-7713,NC_014152.1
@r156.2|NC_014152.1-8242,NC_014152.1
@r157.2|NC_014152.1-6801,NC_014152.1
@r158.2|NC_014152.1-2863,NC_014152.1
@r159.2|NC_014152.1-2999,NC_014152.1
@r160.2|NC_014152.1-7948,NC_014152.1
@r161.2|NC_014152.1-5742,NC_014152.1
@r162.2|NC_014152.1-2839,NC_014152.1
@r163.2|NC_014152.1-11908,NC_014152.1
@r164.2|NC_014152.1-5224,NC_014152.1
@r165.2|NC_014152.1-117,NC_014152.1
@r166.2|NC_014152.1-8367,NC_014152.1
@r167.2|NC_014152.1-10523,NC_014152.1
@r168.2|NC_014152.1-6842,NC_014152.1
@r169.2|NC_014152.1-2131,NC_014152.1
@r170.2|NC_014152.1-4780,NC_014152.1
@r171.2|NC_014152.1-3291,NC_014152.1
@r172.2|NC_014152.1-4676,NC_014152.1
@r173.2|NC_014152.1-7539,NC_014152.1
@r174.2|NC_014152.1-7038,NC_014152.1
@r175.2|NC_014152.1-6676,NC_014152.1
@r176.2|NC_014152.1-2747,NC_014152.1
@r177.2|NC_014152.1-6039,NC_014152.1
@r178.2|NC_014152.1-4688,NC_014152.1
@r179.2|NC_014152.1-4103,NC_014152.1
@r180.2|NC_014152.1-9883,NC_014152.1
@r181.2|NC_014152.1-8838,NC_014152.1
@r182.2|NC_014152.1-2149,NC_014152.1
@r183.2|NC_014152.1-4178,NC_014152.1
@r184.2|NC_014152.1-286,NC_014152.1
@r185.2|NC_014152.1-8793,NC_014152.1
@r186.2|NC_014152.1-7173,NC_014152.1
@r187.2|NC_014152.1-764,NC_014152.1
@r188.2|NC_014152.1-911,NC_014152.1
@r189.2|NC_014152.1-2125,NC_014152.1
@r190.2|NC_014152.1-7666,NC_014152.1
@r191.2|NC_014152.1-3030,NC_014152.1
@r192.2|NC_014152.1-114,NC_014152.1
@r193.2|NC_014152.1-1702,NC_014152.1
@r194.2|NC_014152.1-4933,NC_014152.1
@r195.2|NC_014152.1-4798,NC_014152.1
@r196.2|NC_014152.1-1287,NC_014152.1
@r197.2|NC_014152.1-1416,NC_014152.1
@r198.2|NC_014152.1-768,NC_014152.1
@r199.2|NC_014152.1-2226,NC_014152.1
@r200.2|NC_014152.1-8853,NC_014152.1
@r201.2|NC_014152.1-10303,NC_014152.1
@r202.2|NC_014152.1-8937,NC_014152.1
@r203.2|NC_014152.1-8478,NC_014152.1
@r204.2|NC_014152.1-11875,NC_014152.1
@r205.2|NC_014152.1-9069,NC_014152.1
@r206.2|NC_014152.1-6645,NC_014152.1
@r207.2|NC_014152.1-9574,NC_014152.1
@r208.2|NC_014152.1-1920,NC_014152.1
@r209.2|NC_014152.1-11955,NC_014152.1
@r210.2|NC_014152.1-6544,NC_014152.1
@r211.2|NC_014152.1-2509,NC_014152.1
@r212.2|NC_014152.1-476,NC_014152.1
@r213.2|NC_014152.1-10760,NC_014152.1
@r214.2|NC_014152.1-10883,NC_014152.1
@r215.2|NC_014152.1-7582,NC_014152.1
@r216.2|NC_014152.1-5923,NC_014152.1
@r217.2|NC_014152.1-7446,NC_014152.1
@r218.2|NC_014152.1-237,NC_014152.1
@r219.2|NC_014152.1-4476,NC_014152.1
@r220.2|NC_014152.1-1389,NC_014152.1
@r221.2|NC_014152.1-11117,NC_014152.1
@r222.2|NC_014152.1-4899,NC_014152.1
@r223.2|NC_014152.1-3342,NC_014152.1
@r224.2|NC_014152.1-9612,NC_014152.1
@r225.2|NC_014152.1-2676,NC_014152.1
@r226.2|NC_014152.1-5381,NC_014152.1
@r227.2|NC_014152.1-2606,NC_014152.1
@r228.2|NC_014152.1-4236,NC_014152.1
@r229.2|NC_014152.1-11570,NC_014152.1
@r230.2|NC_014152.1-9306,NC_014152.1
@r231.2|NC_014152.1-8042,NC_014152.1
@r232.2|NC_014152.1-11703,NC_014152.1
@r233.2|NC_014152.1-9827,NC_014152.1
@r234.2|NC_014152.1-9268,NC_014152.1
@r235.2|NC_014152.1-11433,NC_014152.1
@r236.2|NC_014152.1-7595,NC_014152.1
@r237.2|NC_014152.1-2358,NC_014152.1
@r238.2|NC_014152.1-11398,NC_014152.1
@r239.2|NC_014152.1-1936,NC_014152.1
@r240.2|NC_014152.1-1901,NC_014152.1
@r241.2|NC_014152.1-1957,NC_014152.1
@r242.2|NC_014152.1-1993,NC_014152.1
@r243.2|NC_014152.1-426,NC_014152.1
@r1.2|NC_017150.1-853,NC_017150.1
@r2.2|NC_017150.1-3750,NC_017150.1
@r3.2|NC_017150.1-5389,NC_017150.1
@r4.2|NC_017150.1-5598,NC_017150.1
@r5.2|NC_017150.1-7137,NC_017150.1
@r6.2|NC_017150.1-579,NC_017150.1
@r7.2|NC_017150.1-3523,NC_017150.1
@r8.2|NC_017150.1-249,NC_017150.1
@r9.2|NC_017150.1-3819,NC_017150.1
@r10.2|NC_017150.1-3661,NC_017150.1
@r11.2|NC_017150.1-9287,NC_017150.1
@r12.2|NC_017150.1-2234,NC_017150.1
@r13.2|NC_017150.1-5243,NC_017150.1
@r14.2|NC_017150.1-8612,NC_017150.1
@r15.2|NC_017150.1-1619,NC_017150.1
@r16.2|NC_017150.1-2626,NC_017150.1
@r17.2|NC_017150.1-2978,NC_017150.1
@r18.2|NC_017150.1-5449,NC_017150.1
@r19.2|NC_017150.1-5687,NC_017150.1
@r20.2|NC_017150.1-2376,NC_017150.1
@r21.2|NC_017150.1-10081,NC_017150.1
@r22.2|NC_017150.1-9023,NC_017150.1
@r23.2|NC_017150.1-7000,NC_017150.1
@r24.2|NC_017150.1-6066,NC_017150.1
@r25.2|NC_017150.1-7019,NC_017150.1
@r26.2|NC_017150.1-6946,NC_017150.1
@r27.2|NC_017150.1-3221,NC_017150.1
@r28.2|NC_017150.1-2933,NC_017150.1
@r29.2|NC_017150.1-9394,NC_017150.1
@r30.2|NC_017150.1-4794,NC_017150.1
@r31.2|NC_017150.1-6654,NC_017150.1
@r32.2|NC_017150.1-4883,NC_017150.1
@r33.2|NC_017150.1-2754,NC_017150.1
@r34.2|NC_017150.1-3279,NC_017150.1
@r35.2|NC_017150.1-1966,NC_017150.1
@r36.2|NC_017150.1-224,NC_017150.1
@r37.2|NC_017150.1-10007,NC_017150.1
@r38.2|NC_017150.1-9660,NC_017150.1
@r39.2|NC_017150.1-4435,NC_017150.1
@r40.2|NC_017150.1-9467,NC_017150.1
@r41.2|NC_017150.1-3045,NC_017150.1
@r42.2|NC_017150.1-6816,NC_017150.1
@r43.2|NC_017150.1-2900,NC_017150.1
@r44.2|NC_017150.1-465,NC_017150.1
@r45.2|NC_017150.1-4565,NC_017150.1
@r46.2|NC_017150.1-8782,NC_017150.1
@r47.2|NC_017150.1-2957,NC_017150.1
@r48.2|NC_017150.1-60,NC_017150.1
@r49.2|NC_017150.1-9883,NC_017150.1
@r50.2|NC_017150.1-7172,NC_017150.1
@r51.2|NC_017150.1-2024,NC_017150.1
@r52.2|NC_017150.1-9566,NC_017150.1
@r53.2|NC_017150.1-934,NC_017150.1
@r54.2|NC_017150.1-8445,NC_017150.1
@r55.2|NC_017150.1-1652,NC_017150.1
@r56.2|NC_017150.1-5818,NC_017150.1
@r57.2|NC_017150.1-625,NC_017150.1
@r58.2|NC_017150.1-6445,NC_017150.1
@r59.2|NC_017150.1-840,NC_017150.1
@r60.2|NC_017150.1-2993,NC_017150.1
@r61.2|NC_017150.1-7977,NC_017150.1
@r62.2|NC_017150.1-1503,NC_017150.1
@r63.2|NC_017150.1-2368,NC_017150.1
@r64.2|NC_017150.1-3915,NC_017150.1
@r65.2|NC_017150.1-1245,NC_017150.1
@r66.2|NC_017150.1-6518,NC_017150.1
@r67.2|NC_017150.1-8614,NC_017150.1
@r68.2|NC_017150.1-8189,NC_017150.1
@r69.2|NC_017150.1-2766,NC_017150.1
@r70.2|NC_017150.1-3807,NC_017150.1
@r71.2|NC_017150.1-10286,NC_017150.1
@r72.2|NC_017150.1-9809,NC_017150.1
@r73.2|NC_017150.1-4620,NC_017150.1
@r74.2|NC_017150.1-8907,NC_017150.1
@r75.2|NC_017150.1-5131,NC_017150.1
@r76.2|NC_017150.1-4297,NC_017150.1
@r77.2|NC_017150.1-9939,NC_017150.1
@r78.2|NC_017150.1-6405,NC_017150.1
@r79.2|NC_017150.1-7472,NC_017150.1
@r80.2|NC_017150.1-4468,NC_017150.1
@r81.2|NC_017150.1-3787,NC_017150.1
@r82.2|NC_017150.1-2931,NC_017150.1
@r83.2|NC_017150.1-3519,NC_017150.1
@r84.2|NC_017150.1-3595,NC_017150.1
@r85.2|NC_017150.1-104,NC_017150.1
@r86.2|NC_017150.1-9707,NC_017150.1
@r87.2|NC_017150.1-10396,NC_017150.1
@r88.2|NC_017150.1-9207,NC_017150.1
@r89.2|NC_017150.1-1286,NC_017150.1
@r90.2|NC_017150.1-2258,NC_017150.1
@r91.2|NC_017150.1-10298,NC_017150.1
@r92.2|NC_017150.1-6901,NC_017150.1
@r93.2|NC_017150.1-3448,NC_017150.1
@r94.2|NC_017150.1-8854,NC_017150.1
@r95.2|NC_017150.1-9569,NC_017150.1
@r96.2|NC_017150.1-7904,NC_017150.1
@r97.2|NC_017150.1-8176,NC_017150.1
@r98.2|NC_017150.1-8592,NC_017150.1
@r99.2|NC_017150.1-5114,NC_017150.1
@r100.2|NC_017150.1-6029,NC_017150.1
@r101.2|NC_017150.1-894,NC_017150.1
@r102.2|NC_017150.1-8010,NC_017150.1
@r103.2|NC_017150.1-978,NC_017150.1
@r104.2|NC_017150.1-8966,NC_017150.1
@r105.2|NC_017150.1-896,NC_017150.1
@r106.2|NC_017150.1-8761,NC_017150.1
@r107.2|NC_017150.1-3908,NC_017150.1
@r108.2|NC_017150.1-5086,NC_017150.1
@r109.2|NC_017150.1-7181,NC_017150.1
@r110.2|NC_017150.1-1609,NC_017150.1
@r111.2|NC_017150.1-1061,NC_017150.1
@r112.2|NC_017150.1-7518,NC_017150.1
@r113.2|NC_017150.1-6683,NC_017150.1
@r114.2|NC_017150.1-1524,NC_017150.1
@r115.2|NC_017150.1-6866,NC_017150.1
@r116.2|NC_017150.1-6768,NC_017150.1
@r117.2|NC_017150.1-1390,NC_017150.1
@r118.2|NC_017150.1-7773,NC_017150.1
@r119.2|NC_017150.1-412,NC_017150.1
@r120.2|NC_017150.1-3597,NC_017150.1
@r121.2|NC_017150.1-9239,NC_017150.1
@r122.2|NC_017150.1-1113,NC_017150.1
@r123.2|NC_017150.1-2456,NC_017150.1
@r124.2|NC_017150.1-6708,NC_017150.1
@r125.2|NC_017150.1-6259,NC_017150.1
@r126.2|NC_017150.1-4532,NC_017150.1
@r127.2|NC_017150.1-8597,NC_017150.1
@r128.2|NC_017150.1-2313,NC_017150.1
@r129.2|NC_017150.1-8631,NC_017150.1
@r130.2|NC_017150.1-4179,NC_017150.1
@r131.2|NC_017150.1-6754,NC_017150.1
@r132.2|NC_017150.1-7632,NC_017150.1
@r133.2|NC_017150.1-9384,NC_017150.1
@r134.2|NC_017150.1-4487,NC_017150.1
@r135.2|NC_017150.1-2443,NC_017150.1
@r136.2|NC_017150.1-10594,NC_017150.1
@r137.2|NC_017150.1-2875,NC_017150.1
@r138.2|NC_017150.1-5043,NC_017150.1
@r139.2|NC_017150.1-2112,NC_017150.1
@r140.2|NC_017150.1-5045,NC_017150.1
@r141.2|NC_017150.1-4265,NC_017150.1
@r142.2|NC_017150.1-10139,NC_017150.1
@r143.2|NC_017150.1-2325,NC_017150.1
@r144.2|NC_017150.1-328,NC_017150.1
@r145.2|NC_017150.1-10271,NC_017150.1
@r146.2|NC_017150.1-6585,NC_017150.1
@r147.2|NC_017150.1-10526,NC_017150.1
@r148.2|NC_017150.1-6731,NC_017150.1
@r149.2|NC_017150.1-7693,NC_017150.1
@r150.2|NC_017150.1-4793,NC_017150.1
@r151.2|NC_017150.1-10440,NC_017150.1
@r152.2|NC_017150.1-7398,NC_017150.1
@r153.2|NC_017150.1-7421,NC_017150.1
@r154.2|NC_017150.1-6186,NC_017150.1
@r155.2|NC_017150.1-1758,NC_017150.1
@r156.2|NC_017150.1-9726,NC_017150.1
@r157.2|NC_017150.1-5397,NC_017150.1
@r158.2|NC_017150.1-9617,NC_017150.1
@r159.2|NC_017150.1-1950,NC_017150.1
@r160.2|NC_017150.1-4143,NC_017150.1
@r161.2|NC_017150.1-9362,NC_017150.1
@r162.2|NC_017150.1-8388,NC_017150.1
@r163.2|NC_017150.1-10057,NC_017150.1
@r164.2|NC_017150.1-10487,NC_017150.1
@r165.2|NC_017150.1-792,NC_017150.1
@r166.2|NC_017150.1-8481,NC_017150.1
@r167.2|NC_017150.1-5700,NC_017150.1
@r168.2|NC_017150.1-1387,NC_017150.1
@r169.2|NC_017150.1-4894,NC_017150.1
@r170.2|NC_017150.1-9703,NC_017150.1
@r171.2|NC_017150.1-4962,NC_017150.1
@r172.2|NC_017150.1-7995,NC_017150.1
@r173.2|NC_017150.1-7130,NC_017150.1
@r174.2|NC_017150.1-3514,NC_017150.1
@r175.2|NC_017150.1-6881,NC_017150.1
@r176.2|NC_017150.1-710,NC_017150.1
@r177.2|NC_017150.1-8007,NC_017150.1
@r178.2|NC_017150.1-396,NC_017150.1
@r179.2|NC_017150.1-3944,NC_017150.1
@r180.2|NC_017150.1-6758,NC_017150.1
@r181.2|NC_017150.1-6996,NC_017150.1
@r182.2|NC_017150.1-8250,NC_017150.1
@r183.2|NC_017150.1-9357,NC_017150.1
@r184.2|NC_017150.1-7228,NC_017150.1
@r185.2|NC_017150.1-6464,NC_017150.1
@r186.2|NC_017150.1-720,NC_017150.1
@r187.2|NC_017150.1-9024,NC_017150.1
@r188.2|NC_017150.1-2566,NC_017150.1
@r189.2|NC_017150.1-8335,NC_017150.1
@r190.2|NC_017150.1-8901,NC_017150.1
@r191.2|NC_017150.1-1012,NC_017150.1
@r192.2|NC_017150.1-8832,NC_017150.1
@r193.2|NC_017150.1-9479,NC_017150.1
@r194.2|NC_017150.1-1746,NC_017150.1
@r195.2|NC_017150.1-3078,NC_017150.1
@r196.2|NC_017150.1-8200,NC_017150.1
@r197.2|NC_017150.1-8281,NC_017150.1
@r198.2|NC_017150.1-9975,NC_017150.1
@r199.2|NC_017150.1-789,NC_017150.1
@r200.2|NC_017150.1-2427,NC_017150.1
@r201.2|NC_017150.1-3534,NC_017150.1
@r202.2|NC_017150.1-499,NC_017150.1
@r203.2|NC_017150.1-8611,NC_017150.1
@r204.2|NC_017150.1-1607,NC_017150.1
@r205.2|NC_017150.1-9811,NC_017150.1
@r206.2|NC_017150.1-8704,NC_017150.1
@r207.2|NC_017150.1-5469,NC_017150.1
@r208.2|NC_017150.1-516,NC_017150.1
@r209.2|NC_017150.1-9327,NC_017150.1
@r210.2|NC_017150.1-5130,NC_017150.1
@r211.2|NC_017150.1-4798,NC_017150.1
@r212.2|NC_017150.1-9341,NC_017150.1
@r213.2|NC_017150.1-101,NC_017150.1
@r214.2|NC_017150.1-5334,NC_017150.1
@r215.2|NC_017150.1-1719,NC_017150.1
@r216.2|NC_017150.1-10293,NC_017150.1
@r217.2|NC_017150.1-1219,NC_017150.1
@r218.2|NC_017150.1-8797,NC_017150.1
@r219.2|NC_017150.1-1278,NC_017150.1
@r220.2|NC_017150.1-5022,NC_017150.1
@r221.2|NC_017150.1-1406,NC_017150.1
@r222.2|NC_017150.1-1692,NC_017150.1
@r223.2|NC_017150.1-393,NC_017150.1
@r224.2|NC_017150.1-6139,NC_017150.1
@r225.2|NC_017150.1-3916,NC_017150.1
@r226.2|NC_017150.1-6491,NC_017150.1
@r227.2|NC_017150.1-7240,NC_017150.1
@r228.2|NC_017150.1-3422,NC_017150.1
@r229.2|NC_017150.1-4425,NC_017150.1
@r230.2|NC_017150.1-7463,NC_017150.1
@r231.2|NC_017150.1-8047,NC_017150.1
@r232.2|NC_017150.1-6729,NC_017150.1
@r233.2|NC_017150.1-3041,NC_017150.1
@r234.2|NC_017150.1-7490,NC_017150.1
@r235.2|NC_017150.1-9871,NC_017150.1
@r236.2|NC_017150.1-4177,NC_017150.1
@r237.2|NC_017150.1-4006,NC_017150.1
@r238.2|NC_017150.1-2337,NC_017150.1
@r239.2|NC_017150.1-2540,NC_017150.1
@r240.2|NC_017150.1-3365,NC_017150.1
@r241.2|NC_017150.1-6776,NC_017150.1
@r242.2|NC_017150.1-190,NC_017150.1
@r243.2|NC_017150.1-1881,NC_017150.1
@r244.2|NC_017150.1-967,NC_017150.1
@r245.2|NC_017150.1-5407,NC_017150.1
@r246.2|NC_017150.1-9882,NC_017150.1
@r247.2|NC_017150.1-5338,NC_017150.1
@r248.2|NC_017150.1-4165,NC_017150.1
@r249.2|NC_017150.1-3692,NC_017150.1
@r250.2|NC_017150.1-4338,NC_017150.1
@r251.2|NC_017150.1-4038,NC_017150.1
@r252.2|NC_017150.1-3902,NC_017150.1
@r253.2|NC_017150.1-5035,NC_017150.1
@r254.2|NC_017150.1-479,NC_017150.1
@r255.2|NC_017150.1-4496,NC_017150.1
@r256.2|NC_017150.1-1605,NC_017150.1
@r257.2|NC_017150.1-10270,NC_017150.1
@r258.2|NC_017150.1-6608,NC_017150.1
@r259.2|NC_017150.1-4655,NC_017150.1
@r260.2|NC_017150.1-4732,NC_017150.1
@r261.2|NC_017150.1-10497,NC_017150.1
@r262.2|NC_017150.1-8001,NC_017150.1
@r263.2|NC_017150.1-7295,NC_017150.1
@r264.2|NC_017150.1-4880,NC_017150.1
@r265.2|NC_017150.1-8239,NC_017150.1
@r266.2|NC_017150.1-6209,NC_017150.1
@r267.2|NC_017150.1-4602,NC_017150.1
@r268.2|NC_017150.1-3705,NC_017150.1
@r269.2|NC_017150.1-6824,NC_017150.1
@r270.2|NC_017150.1-9458,NC_017150.1
@r271.2|NC_017150.1-4623,NC_017150.1
@r272.2|NC_017150.1-3018,NC_017150.1
@r273.2|NC_017150.1-2947,NC_017150.1
@r274.2|NC_017150.1-3623,NC_017150.1
@r275.2|NC_017150.1-5595,NC_017150.1
@r276.2|NC_017150.1-6888,NC_017150.1
@r277.2|NC_017150.1-3188,NC_017150.1
@r278.2|NC_017150.1-9457,NC_017150.1
@r279.2|NC_017150.1-4229,NC_017150.1
@r280.2|NC_017150.1-6349,NC_017150.1
@r281.2|NC_017150.1-22,NC_017150.1
@r282.2|NC_017150.1-4305,NC_017150.1
@r283.2|NC_017150.1-8075,NC_017150.1
@r284.2|NC_017150.1-3934,NC_017150.1
@r285.2|NC_017150.1-8890,NC_017150.1
@r286.2|NC_017150.1-3193,NC_017150.1
@r287.2|NC_017150.1-6198,NC_017150.1
@r288.2|NC_017150.1-2377,NC_017150.1
@r289.2|NC_017150.1-7326,NC_017150.1
@r290.2|NC_017150.1-2913,NC_017150.1
@r291.2|NC_017150.1-7396,NC_017150.1
@r292.2|NC_017150.1-8413,NC_017150.1
@r293.2|NC_017150.1-4924,NC_017150.1
@r294.2|NC_017150.1-5864,NC_017150.1
@r295.2|NC_017150.1-5854,NC_017150.1
@r296.2|NC_017150.1-4892,NC_017150.1
@r297.2|NC_017150.1-270,NC_017150.1
@r298.2|NC_017150.1-5571,NC_017150.1
@r299.2|NC_017150.1-3255,NC_017150.1
@r300.2|NC_017150.1-3564,NC_017150.1
@r301.2|NC_017150.1-3151,NC_017150.1
@r302.2|NC_017150.1-5800,NC_017150.1
@r303.2|NC_017150.1-3027,NC_017150.1
@r304.2|NC_017150.1-200,NC_017150.1
@r305.2|NC_017150.1-891,NC_017150.1
@r306.2|NC_017150.1-8676,NC_017150.1
@r307.2|NC_017150.1-3165,NC_017150.1
@r308.2|NC_017150.1-4056,NC_017150.1
@r309.2|NC_017150.1-7375,NC_017150.1
@r310.2|NC_017150.1-1955,NC_017150.1
@r311.2|NC_017150.1-7080,NC_017150.1
@r312.2|NC_017150.1-7430,NC_017150.1
@r313.2|NC_017150.1-3418,NC_017150.1
@r314.2|NC_017150.1-4420,NC_017150.1
@r315.2|NC_017150.1-4493,NC_017150.1
@r316.2|NC_017150.1-5924,NC_017150.1
@r317.2|NC_017150.1-8480,NC_017150.1
@r318.2|NC_017150.1-581,NC_017150.1
